epoch,train_total_loss,train_recon_loss,train_kl_loss,val_total_loss,val_recon_loss,val_kl_loss
1,5220.656734009312,5220.656734009312,0.0,11.15967119101322,11.15967119101322,0.0
2,4.21500903286346,4.21500903286346,0.0,11.284860798806855,11.284860798806855,0.0
3,2.848184138128202,2.848184138128202,0.0,11.49082560972734,11.49082560972734,0.0
4,2.6328116573699534,2.6328116573699534,0.0,11.580931880257346,11.580931880257346,0.0
5,2.576498136128465,2.576498136128465,0.0,14.499450885888303,14.499450885888303,0.0
6,2.573223777013282,2.573223777013282,0.0,12.918124343409684,12.918124343409684,0.0
7,2.412236661127169,2.412236661127169,0.0,10.102425531907516,10.102425531907516,0.0
8,2.2414838581869048,2.2414838581869048,0.0,9.246961189038826,9.246961189038826,0.0
9,2.146270565790673,2.146270565790673,0.0,10.270262024619363,10.270262024619363,0.0
10,2.0662721803743547,2.0662721803743547,0.0,11.454586737083666,11.454586737083666,0.0
11,1.93921278437523,1.93921278437523,0.0,11.212499502933387,11.212499502933387,0.0
12,1.906983151827773,1.906983151827773,0.0,11.324457024082992,11.324457024082992,0.0
13,1.891869311463343,1.891869311463343,0.0,10.242257609511867,10.242257609511867,0.0
14,1.7716343419192588,1.7716343419192588,0.0,10.324750264485678,10.324750264485678,0.0
15,1.8003468268538174,1.8003468268538174,0.0,11.275997104066791,11.275997104066791,0.0
