epoch,train_total_loss,train_recon_loss,train_kl_loss,val_total_loss,val_recon_loss,val_kl_loss
1,71.14752900110533,71.14752900110533,0.0,14.85351530710856,14.85351530710856,0.0
2,2.9241103570755214,2.9241103570755214,0.0,10.731383236971768,10.731383236971768,0.0
3,2.5993622492437494,2.5993622492437494,0.0,9.6302208033475,9.6302208033475,0.0
4,2.524225408083772,2.524225408083772,0.0,11.039417093450373,11.039417093450373,0.0
5,2.461714741301863,2.461714741301863,0.0,15.153835787917629,15.153835787917629,0.0
6,2.430838055806617,2.430838055806617,0.0,16.540192343971945,16.540192343971945,0.0
7,2.4157890228375996,2.4157890228375996,0.0,14.652223269144693,14.652223269144693,0.0
8,2.398239018165902,2.398239018165902,0.0,10.749813917911414,10.749813917911414,0.0
9,2.3813922176622366,2.3813922176622366,0.0,9.700130274801543,9.700130274801543,0.0
10,2.376664795287668,2.376664795287668,0.0,10.909980369336678,10.909980369336678,0.0
11,2.359691904015737,2.359691904015737,0.0,14.765960202072606,14.765960202072606,0.0
12,2.3671306714619678,2.3671306714619678,0.0,15.688087405580463,15.688087405580463,0.0
13,2.365213743627888,2.365213743627888,0.0,13.958158608638879,13.958158608638879,0.0
14,2.3535853869294465,2.3535853869294465,0.0,10.257582259900643,10.257582259900643,0.0
15,2.355746138585757,2.355746138585757,0.0,9.47181172804399,9.47181172804399,0.0
