epoch,train_total_loss,train_recon_loss,train_kl_loss,val_total_loss,val_recon_loss,val_kl_loss
1,70.65509089378462,70.65509089378462,0.0,8.838966485225793,8.838966485225793,0.0
2,2.7331078281141306,2.7331078281141306,0.0,11.31784910144228,11.31784910144228,0.0
3,2.3445910884909433,2.3445910884909433,0.0,10.860508745366877,10.860508745366877,0.0
4,2.1607756696335256,2.1607756696335256,0.0,11.585970994197961,11.585970994197961,0.0
5,1.7124770193883818,1.7124770193883818,0.0,11.550129731496176,11.550129731496176,0.0
6,1.560877115759131,1.560877115759131,0.0,10.604948766303785,10.604948766303785,0.0
7,1.4972954008677235,1.4972954008677235,0.0,10.92434328252619,10.92434328252619,0.0
8,1.4643949678499404,1.4643949678499404,0.0,11.871364477908973,11.871364477908973,0.0
9,1.3885391689326665,1.3885391689326665,0.0,11.868926568464799,11.868926568464799,0.0
10,1.317340561788376,1.317340561788376,0.0,11.540420705621893,11.540420705621893,0.0
11,1.2350888023637745,1.2350888023637745,0.0,11.704281489054361,11.704281489054361,0.0
12,1.1610109071209007,1.1610109071209007,0.0,10.430873639655836,10.430873639655836,0.0
13,1.0775802853989274,1.0775802853989274,0.0,11.47061758330374,11.47061758330374,0.0
14,1.0057735255319777,1.0057735255319777,0.0,11.336787483908914,11.336787483908914,0.0
15,0.9864916891267855,0.9864916891267855,0.0,10.206404888268674,10.206404888268674,0.0
