epoch,train_total_loss,train_recon_loss,train_kl_loss,val_total_loss,val_recon_loss,val_kl_loss
1,83.48242647353916,83.48242647353916,0.0,8.1658316525546,8.1658316525546,0.0
2,5.376272433424649,5.376272433424649,0.0,13.842989488081498,13.842989488081498,0.0
3,4.324108358931868,4.324108358931868,0.0,12.105631828308105,12.105631828308105,0.0
4,4.258110369721504,4.258110369721504,0.0,9.62459221753207,9.62459221753207,0.0
5,3.706575766001662,3.706575766001662,0.0,9.74621616710316,9.74621616710316,0.0
6,3.492707899172012,3.492707899172012,0.0,12.550673658197576,12.550673658197576,0.0
7,3.190537096702889,3.190537096702889,0.0,12.427492835304953,12.427492835304953,0.0
8,2.6226971541365534,2.6226971541365534,0.0,9.68715052171187,9.68715052171187,0.0
9,2.373768100999806,2.373768100999806,0.0,9.80685264414007,9.80685264414007,0.0
10,2.3072110855416077,2.3072110855416077,0.0,12.380110437219793,12.380110437219793,0.0
11,2.2877238874566066,2.2877238874566066,0.0,12.114326130260121,12.114326130260121,0.0
12,2.2618856789314585,2.2618856789314585,0.0,9.44080991456003,9.44080991456003,0.0
13,2.2463809627376192,2.2463809627376192,0.0,9.293557932882598,9.293557932882598,0.0
14,2.2406192740348922,2.2406192740348922,0.0,11.877633672772031,11.877633672772031,0.0
15,2.2281577717768,2.2281577717768,0.0,11.705784147435969,11.705784147435969,0.0
